,chembl_ids,IC50s,SMILES
42,CHEMBL294878,30.0,O=c1cc(-c2ccc(O)cc2)oc2cc(O)ccc12
12,CHEMBL58177,41.7,C#CCN(C)[C@H](C)Cc1ccc(F)cc1
49,CHEMBL276915,120.0,O=c1cc(-c2ccccc2)oc2cc(O)ccc12
15,CHEMBL115314,150.0,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCBr)ccc12
46,CHEMBL115314,150.0,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCBr)ccc12
48,CHEMBL115109,200.0,CC(C)Oc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
9,CHEMBL294811,200.0,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(C)cc1
18,CHEMBL115092,300.0,CCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
29,CHEMBL115092,300.0,CCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
28,CHEMBL131921,400.0,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
16,CHEMBL112165,450.0,C=CCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
31,CHEMBL112165,450.0,C=CCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
43,CHEMBL325841,500.0,O=c1cc(-c2ccccc2)c2ccc(O)cc2o1
19,CHEMBL44,900.0,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
37,CHEMBL113113,1500.0,O=c1c(-c2ccc(O)cc2)coc2cc(OCCO)ccc12
20,CHEMBL117,1600.0,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12
22,CHEMBL132065,1700.0,O=c1c(-c2ccc(O)cc2)coc2cc(OCC(O)CO)ccc12
39,CHEMBL112437,2000.0,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCCCCBr)ccc12
24,CHEMBL112437,2000.0,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCCCCBr)ccc12
47,CHEMBL112007,2100.0,O=C(O)CCCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
13,CHEMBL112007,2100.0,O=C(O)CCCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
17,CHEMBL113640,3000.0,O=C(O)CCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
10,CHEMBL65761,3600.0,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)cc1
36,CHEMBL113617,4000.0,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCCBr)ccc12
40,CHEMBL113640,4000.0,O=C(O)CCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
14,CHEMBL113617,4000.0,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCCBr)ccc12
34,CHEMBL276473,4500.0,O=C(/C=C/c1ccccc1)c1ccc(O)cc1
30,CHEMBL113586,5000.0,O=C(O)CCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
50,CHEMBL109649,5000.0,C=CCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
35,CHEMBL112070,5300.0,CCOC(=O)CCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
44,CHEMBL114397,6500.0,O=C(O)CCCCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
27,CHEMBL134275,7000.0,O=c1c(-c2ccc(O)cc2)coc2cc(OCCC3OCCCO3)ccc12
32,CHEMBL110038,7000.0,O=C(O)CCCCCOc1ccc2c(=O)cc(-c3ccc(O)cc3)oc2c1
1,CHEMBL62743,9500.0,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(C)cc1
0,CHEMBL304241,9500.0,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(C)c1
25,CHEMBL112696,10000.0,O=C(O)CCCCCCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
7,CHEMBL291647,10000.0,COc1ccc(C2CC(c3ccc(O)cc3O)=NN2C(C)=O)cc1
2,CHEMBL65252,10000.0,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)c(OC)c1
38,CHEMBL112696,10000.0,O=C(O)CCCCCCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
8,CHEMBL303594,12000.0,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(Cl)c1
41,CHEMBL97542,13000.0,O=C1CC(c2ccccc2)Oc2cc(O)ccc21
45,CHEMBL113123,13000.0,O=C(O)CCCCCCCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
23,CHEMBL113123,13000.0,O=C(O)CCCCCCCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
33,CHEMBL8145,14000.0,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
26,CHEMBL8145,14000.0,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
21,CHEMBL75267,17000.0,O=c1cc(-c2ccccc2)oc2c(O)c(O)ccc12
6,CHEMBL418480,20000.0,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(Cl)cc1
3,CHEMBL293004,30000.0,COc1ccccc1C1CC(c2ccc(O)cc2)=NN1C(C)=O
5,CHEMBL66639,40000.0,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(Cl)cc1
11,CHEMBL303112,40000.0,COc1ccccc1C1CC(c2ccc(O)cc2O)=NN1C(C)=O
4,CHEMBL63223,50000.0,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccccc1Cl
